cid,year,week,anger,disgust,joy,sad,fear,angerlw,disgustlw,joylw,sadlw,fearlw,bindex,cida,cidweek,province,provinceyear,aqi,pm25,realnum,tmin,tmax,wind,sunnyr,popw
1,2015,42,11.5385,30.7692,34.6154,11.5385,11.5385,0.125,0.375,0.25,0.25,0.0,94.857143,1,142,21,201521,101.857143,74.685714,26,9.142857,19.0,3.857143,0.571429,349.8
1,2015,43,9.5238,14.285700000000002,42.8571,33.3333,0.0,0.115385,0.307692,0.346154,0.115385,0.115385,76.57142900000002,1,143,21,201521,119.71428600000002,86.314286,21,3.666667,13.666667000000002,3.928571,0.571429,349.8
1,2015,44,10.5263,26.3158,26.3158,21.0526,15.7895,0.095238,0.14285699999999998,0.428571,0.333333,0.0,79.14285699999998,1,144,21,201521,106.71428600000002,77.728571,19,5.571429,14.0,3.785714,1.0,349.8
1,2015,45,10.1961,15.2941,29.4118,34.1176,10.9804,0.105263,0.263158,0.263158,0.210526,0.157895,224.857143,1,145,21,201521,282.857143,292.4571430000001,255,-2.2,3.0,4.071429,0.14285699999999998,349.8
1,2015,46,10.7784,13.1737,33.5329,37.7246,4.7904,0.101961,0.15294100000000002,0.294118,0.34117600000000003,0.109804,202.428571,1,146,21,201521,143.71428600000004,110.614286,167,0.4,7.4,4.0,0.571429,349.8
1,2015,47,14.285700000000002,8.5714,37.1429,34.28570000000001,5.7143,0.107784,0.131737,0.335329,0.377246,0.047904,133.571429,1,147,21,201521,120.428571,89.0,35,-10.5,-4.8333330000000005,4.142857,0.14285699999999998,349.8
1,2015,48,7.3171,17.8862,38.2114,21.9512,14.6341,0.14285699999999998,0.085714,0.371429,0.342857,0.057142999999999985,162.571429,1,148,21,201521,114.857143,87.157143,123,-10.0,-2.166667,3.714286,0.428571,349.8
1,2015,49,10.2564,17.948700000000006,40.1709,19.6581,11.9658,0.073171,0.178862,0.382114,0.219512,0.146341,160.28571399999996,1,149,21,201521,112.571429,84.285714,117,-4.0,2.428571,3.714286,0.857143,349.8
1,2015,50,16.0256,16.0256,32.6923,23.7179,11.5385,0.10256400000000003,0.17948699999999998,0.401709,0.196581,0.119658,181.571429,1,150,21,201521,168.71428600000004,134.157143,156,-7.0,0.0,4.0,0.714286,349.8
1,2015,51,9.3023,16.2791,27.907,34.1085,12.4031,0.16025599999999998,0.16025599999999998,0.326923,0.237179,0.115385,306.428571,1,151,21,201521,169.28571399999996,129.014286,387,-6.142857,2.428571,3.642857,0.714286,349.8
1,2015,52,12.7907,20.9302,37.7907,18.6047,9.8837,0.093023,0.16279100000000002,0.27907,0.341085,0.124031,171.71428600000004,1,152,21,201521,111.142857,82.157143,172,-10.571429,-3.142857,3.857143,0.857143,349.8
1,2016,1,12.8,12.0,34.4,31.2,9.6,0.127907,0.209302,0.377907,0.186047,0.098837,143.28571399999996,1,101,21,201621,125.571429,94.071429,125,-9.857143,-1.142857,3.642857,0.857143,349.8
1,2016,2,12.5,35.4167,25.0,18.75,8.333300000000001,0.128,0.12,0.344,0.312,0.096,115.28571399999998,1,102,21,201621,94.857143,68.38571400000001,48,-11.571429,-4.571429,3.5,1.0,349.8
1,2016,3,4.0816,18.3673,36.7347,26.5306,14.285700000000002,0.125,0.354167,0.25,0.1875,0.083333,107.571429,1,103,21,201621,127.142857,94.771429,49,-16.857143,-9.0,3.785714,0.714286,349.8
1,2016,4,23.5294,17.6471,20.5882,29.4118,8.8235,0.040816000000000005,0.183673,0.367347,0.265306,0.14285699999999998,108.71428600000002,1,104,21,201621,96.714286,65.085714,34,-14.857143,-7.142857000000001,3.642857,0.857143,349.8
1,2016,5,5.7143,11.4286,60.0,17.1429,5.7143,0.235294,0.17647100000000002,0.205882,0.294118,0.08823500000000001,57.714286,1,105,21,201621,101.714286,74.5,35,-12.285714,-3.714286,3.642857,1.0,349.8
1,2016,6,8.1081,13.5135,45.9459,27.027,5.4054,0.057142999999999985,0.11428599999999997,0.6,0.171429,0.057142999999999985,26.714286,1,106,21,201621,91.714286,63.35714300000001,37,-3.714286,3.0,3.642857,0.714286,349.8
1,2016,7,9.0909,9.0909,50.0,22.7273,9.0909,0.081081,0.13513499999999998,0.459459,0.27026999999999995,0.054054,60.285714,1,107,21,201621,74.14285699999998,43.085714,22,-7.714286,1.0,3.785714,0.714286,349.8
1,2016,8,8.0,16.0,56.00000000000001,16.0,4.0,0.090909,0.090909,0.5,0.227273,0.090909,86.85714300000002,1,108,21,201621,69.14285699999999,43.371429,25,-8.571429,0.14285699999999998,3.5,0.857143,349.8
1,2016,9,6.4516,16.128999999999998,38.70970000000001,29.0323,9.6774,0.08,0.16,0.56,0.16,0.04,84.14285699999998,1,109,21,201621,93.0,65.14285699999999,31,-5.166667,3.0,3.928571,0.714286,349.8
1,2016,10,13.7931,13.7931,41.3793,20.6897,10.3448,0.06451599999999999,0.16129000000000002,0.387097,0.290323,0.096774,120.71428600000002,1,110,21,201621,122.71428600000002,58.128571,29,-3.285714,5.0,3.642857,0.571429,349.8
1,2016,11,33.3333,16.666700000000002,0.0,50.0,0.0,0.137931,0.137931,0.413793,0.206897,0.103448,75.42857099999998,1,111,21,201621,94.857143,68.35714300000001,6,2.166667,10.333333,4.357143,0.714286,349.8
1,2016,12,10.7143,3.5714,67.8571,17.8571,0.0,0.333333,0.166667,0.0,0.5,0.0,85.42857099999998,1,112,21,201621,97.142857,67.842857,28,2.25,13.0,4.357143,1.0,349.8
1,2016,13,0.0,29.1667,33.3333,33.3333,4.1667000000000005,0.107143,0.035714,0.678571,0.178571,0.0,34.428571000000005,1,113,21,201621,90.428571,59.457143,24,6.857142999999999,15.857143,4.357143,1.0,349.8
1,2016,14,11.7647,11.7647,47.0588,23.5294,5.8824000000000005,0.0,0.291667,0.333333,0.333333,0.041667,83.14285699999998,1,114,21,201621,75.714286,42.828571,17,6.857142999999999,17.0,4.5,0.714286,349.8
1,2016,15,11.1111,16.666700000000002,27.77780000000001,33.3333,11.1111,0.117647,0.117647,0.470588,0.235294,0.058824,74.714286,1,115,21,201621,106.428571,60.257143000000006,18,6.571428999999998,15.714285999999998,4.214286,0.714286,349.8
1,2016,16,12.5,6.25,62.5,12.5,6.25,0.111111,0.166667,0.277778,0.333333,0.111111,66.285714,1,116,21,201621,62.571429,40.657143,16,9.142857,18.142857,4.5,0.571429,349.8
1,2016,17,16.666700000000002,8.333300000000001,58.3333,16.666700000000002,0.0,0.125,0.0625,0.625,0.125,0.0625,91.428571,1,117,21,201621,98.571429,54.114286,12,10.0,20.857143,4.071429,0.714286,349.8
1,2016,18,0.0,9.0909,45.4545,36.3636,9.0909,0.166667,0.083333,0.583333,0.166667,0.0,66.42857099999999,1,118,21,201621,118.428571,70.2,11,13.142857,21.285714,4.214286,0.285714,349.8
1,2016,19,16.666700000000002,5.5556,66.6667,11.1111,0.0,0.0,0.090909,0.454545,0.363636,0.090909,51.0,1,119,21,201621,166.14285700000005,99.1,18,12.714286,23.0,4.071429,0.571429,349.8
1,2016,20,13.3333,6.6667000000000005,33.3333,40.0,6.6667000000000005,0.166667,0.055556,0.666667,0.111111,0.0,57.285714,1,120,21,201621,137.28571399999998,69.42857099999999,15,15.285714000000002,24.714286,4.928571,0.857143,349.8
1,2016,21,5.5556,22.2222,44.4444,16.666700000000002,11.1111,0.13333299999999998,0.06666699999999999,0.333333,0.4,0.06666699999999999,65.57142900000001,1,121,21,201621,143.0,88.128571,18,16.0,25.571429,4.071429,0.571429,349.8
1,2016,22,11.1111,44.4444,0.0,22.2222,22.2222,0.055556,0.222222,0.444444,0.166667,0.111111,42.0,1,122,21,201621,130.428571,61.171429,9,17.571429000000002,28.142857,4.214286,0.857143,349.8
1,2016,23,0.0,25.0,37.5,37.5,0.0,0.111111,0.444444,0.0,0.222222,0.222222,65.714286,1,123,21,201621,79.714286,40.285714,8,19.428571,29.0,3.785714,0.714286,349.8
1,2016,24,16.666700000000002,8.333300000000001,41.6667,33.3333,0.0,0.0,0.25,0.375,0.375,0.0,41.714286,1,124,21,201621,67.714286,46.42857100000001,12,18.142857,26.285714,3.928571,0.285714,349.8
1,2016,25,0.0,30.0,50.0,20.0,0.0,0.166667,0.083333,0.416667,0.333333,0.0,24.428571,1,125,21,201621,75.714286,45.42857100000001,10,20.571429,28.571429,3.928571,0.0,349.8
1,2016,26,0.0,11.1111,33.3333,0.0,55.55560000000001,0.0,0.3,0.5,0.2,0.0,65.14285699999999,1,126,21,201621,69.57142900000001,37.142857,9,20.428571,28.285714,3.928571,0.428571,349.8
1,2016,27,0.0,23.8095,52.381,23.8095,0.0,0.0,0.111111,0.333333,0.0,0.555556,16.285714000000002,1,127,21,201621,88.14285699999998,43.857143,21,22.142857,30.714286,3.642857,0.857143,349.8
1,2016,28,16.666700000000002,16.666700000000002,22.2222,33.3333,11.1111,0.0,0.238095,0.52381,0.238095,0.0,24.428571,1,128,21,201621,74.42857099999998,36.857143,18,23.714286,31.857143,3.642857,0.857143,349.8
1,2016,29,4.0,0.0,48.0,24.0,24.0,0.166667,0.166667,0.222222,0.333333,0.111111,24.428571,1,129,21,201621,73.85714300000002,46.571429,25,21.714286,28.428571,3.642857,0.428571,349.8
1,2016,30,6.25,12.5,37.5,43.75,0.0,0.04,0.0,0.48,0.24,0.24,8.142857000000001,1,130,21,201621,60.0,37.571429,16,23.285714,30.142857,3.785714,0.285714,349.8
1,2016,31,0.0,21.4286,57.1429,0.0,21.4286,0.0625,0.125,0.375,0.4375,0.0,16.285714000000002,1,131,21,201621,72.14285699999998,48.0,14,24.142857,31.428571,3.5,0.285714,349.8
1,2016,32,6.6667000000000005,20.0,40.0,33.3333,0.0,0.0,0.214286,0.571429,0.0,0.214286,8.714286,1,132,21,201621,72.57142900000002,37.142857,15,24.0,31.714286,3.928571,0.714286,349.8
1,2016,33,20.0,26.6667,20.0,33.3333,0.0,0.06666699999999999,0.2,0.4,0.333333,0.0,16.285714000000002,1,133,21,201621,68.285714,45.857143,15,23.428571,31.142857,3.642857,0.428571,349.8
1,2016,34,12.5,37.5,25.0,25.0,0.0,0.2,0.266667,0.2,0.333333,0.0,16.285714000000002,1,134,21,201621,54.85714300000001,32.0,8,20.142857,27.857143,3.642857,0.285714,349.8
1,2016,35,12.5,31.25,25.0,25.0,6.25,0.125,0.375,0.25,0.25,0.0,0.0,1,135,21,201621,47.857143,27.571429,16,15.142857,24.0,4.214286,0.571429,349.8
1,2016,36,0.0,22.2222,33.3333,44.4444,0.0,0.125,0.3125,0.25,0.25,0.0625,16.285714000000002,1,136,21,201621,59.428571,35.142857,9,18.857143,26.142857,3.5,0.0,349.8
1,2016,37,10.0,40.0,30.0,20.0,0.0,0.0,0.222222,0.333333,0.444444,0.0,16.285714000000002,1,137,21,201621,80.42857099999998,56.14285699999999,10,17.857143,25.714286,3.5,0.14285699999999998,349.8
1,2016,38,25.0,25.0,12.5,25.0,12.5,0.1,0.4,0.3,0.2,0.0,33.285714,1,138,21,201621,58.428571,37.42857100000001,8,14.857143,24.428571,3.785714,1.0,349.8
1,2016,39,0.0,0.0,45.4545,54.5455,0.0,0.25,0.25,0.125,0.25,0.125,16.285714000000002,1,139,21,201621,60.85714300000001,39.714286,11,13.857143,22.285714,3.928571,0.428571,349.8
