cid,income,year,week,anger,disgust,joy,sad,fear,angerlw,disgustlw,joylw,sadlw,fearlw,bindex,season,cida,cidweek,province,provinceyear,aqi,pm25,realnum,tmin,tmax,wind,sunnyr
1,27846.0,2018,44,20.0,10.0,20.0,40.0,10.0,0.0,0.4,0.3,0.2,0.1,83.85714300000002,3,1,144,21,201821,64.14285699999999,40.857143,10,5.6,14.8,3.928571,0.714286
1,27846.0,2018,45,50.0,16.666700000000002,16.666700000000002,0.0,16.666700000000002,0.2,0.1,0.2,0.4,0.1,60.428571,3,1,145,21,201821,93.714286,65.57142900000001,12,1.5,9.0,3.5,0.428571
1,27846.0,2018,46,12.5,37.5,12.5,25.0,12.5,0.5,0.166667,0.166667,0.0,0.166667,79.57142900000002,3,1,146,21,201821,74.14285699999998,51.0,16,-0.333333,9.0,3.785714,0.857143
1,27846.0,2018,47,0.0,0.0,71.4286,28.571400000000004,0.0,0.125,0.375,0.125,0.25,0.125,50.571429,3,1,147,21,201821,70.42857099999998,46.285714,7,-2.142857,5.428571,2.714286,0.857143
1,27846.0,2018,48,16.666700000000002,11.1111,55.55560000000001,16.666700000000002,0.0,0.0,0.0,0.714286,0.285714,0.0,116.571429,3,1,148,21,201821,79.42857099999998,46.0,18,-1.833333,6.5,2.285714,0.571429
1,27846.0,2018,49,45.4545,4.5455000000000005,27.2727,18.1818,4.5455000000000005,0.166667,0.111111,0.555556,0.166667,0.0,115.428571,4,1,149,21,201821,46.714286,23.428571,22,-11.0,-3.285714,2.571429,0.714286
1,27846.0,2018,50,0.0,13.3333,60.0,13.3333,13.3333,0.454545,0.045455,0.272727,0.181818,0.045455,84.57142900000002,4,1,150,21,201821,90.428571,66.0,15,-9.428571,-0.857143,2.0,0.714286
1,27846.0,2018,51,0.0,15.3846,76.9231,7.6923,0.0,0.0,0.13333299999999998,0.6,0.13333299999999998,0.13333299999999998,77.57142900000002,4,1,151,21,201821,72.285714,49.857143,13,-5.5,3.0,2.142857,0.857143
1,27846.0,2018,52,0.0,0.0,100.0,0.0,0.0,0.0,0.153846,0.769231,0.076923,0.0,50.142857,4,1,152,21,201821,62.571429,29.428571,3,-14.571429,-6.142857,2.714286,1.0
1,27846.0,2019,1,50.0,0.0,0.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,84.57142900000002,4,1,101,21,201921,88.42857099999998,62.85714300000001,2,-10.714286,-3.428571,1.5714290000000002,0.714286
1,27846.0,2019,2,7.142900000000001,14.285700000000002,28.571400000000004,50.0,0.0,0.5,0.0,0.0,0.5,0.0,121.428571,4,1,102,21,201921,140.571429,104.285714,14,-7.571428999999998,1.4285709999999998,2.0,0.714286
